rank,pls_min_mv,driver,points,back,starts,pole,win,top_5,top_10,winnings,year,race_num
50,-2,Dave Marcis,37,-894,1,0,0,0,0,"$137,110",2002,6
51,-1,Andy Hillenburg,34,-897,1,0,0,0,0,"$34,598",2002,6
1,--,Sterling Marlin,1082,0,7,0,2,3,6,"$1,353,020",2002,7
2,--,Matt Kenseth,1012,-70,7,1,2,3,5,"$1,048,950",2002,7
3,+1,Jimmie Johnson,963,-119,7,4,0,1,5,"$571,592",2002,7
4,-1,Rusty Wallace,950,-132,7,1,0,0,4,"$839,160",2002,7
5,+3,Mark Martin,938,-144,7,0,0,2,4,"$1,091,620",2002,7
6,+4,Jeff Gordon,909,-173,7,3,0,1,4,"$1,162,950",2002,7
7,-2,Kurt Busch,893,-189,7,1,1,2,2,"$991,946",2002,7
8,+4,Tony Stewart,887,-195,7,2,1,4,4,"$1,193,540",2002,7
9,+5,Ricky Rudd,847,-235,7,1,0,2,2,"$911,155",2002,7
10,+3,Bill Elliott,837,-245,7,4,0,0,3,"$770,453",2002,7
11,-5,Dale Earnhardt Jr,833,-249,7,2,0,3,3,"$816,068",2002,7
12,-5,Ryan Newman,826,-256,7,6,0,2,4,"$786,636",2002,7
13,+2,Ricky Craven,787,-295,7,2,0,2,2,"$596,481",2002,7
14,-5,Jeff Burton,786,-296,7,0,0,0,2,"$778,968",2002,7
15,-4,Ward Burton,762,-320,7,1,1,1,2,"$1,949,050",2002,7
16,+1,Elliott Sadler,757,-325,7,0,0,2,2,"$1,415,840",2002,7
17,-1,Bobby Labonte,738,-344,7,0,0,2,2,"$843,356",2002,7
18,--,Jeremy Mayfield,736,-346,7,0,0,1,1,"$675,992",2002,7
19,+2,Terry Labonte,731,-351,7,0,0,0,1,"$737,548",2002,7
20,+2,Dave Blaney,714,-368,7,0,0,0,0,"$607,194",2002,7
21,+2,Jimmy Spencer,696,-386,6,0,0,1,3,"$477,723",2002,7
22,-2,Kevin Harvick,692,-390,7,1,0,1,2,"$792,311",2002,7
23,-4,Jerry Nadeau,681,-401,7,0,0,0,1,"$532,545",2002,7
24,--,Dale Jarrett,653,-429,7,1,0,0,1,"$779,311",2002,7
25,--,Kyle Petty,641,-441,7,0,0,0,0,"$439,162",2002,7
26,+5,Mike Skinner,618,-464,7,0,0,0,0,"$506,973",2002,7
27,--,Michael Waltrip,613,-469,7,0,0,1,1,"$770,345",2002,7
28,+1,Jeff Green,612,-470,7,0,0,0,0,"$476,694",2002,7
29,+1,Johnny Benson Jr,611,-471,7,0,0,0,1,"$687,067",2002,7
30,-2,Bobby Hamilton,588,-494,7,0,0,0,1,"$537,366",2002,7
31,-5,Robby Gordon,580,-502,7,0,0,0,0,"$631,672",2002,7
32,+2,John Andretti,540,-542,7,0,0,0,0,"$636,256",2002,7
33,-1,Ken Schrader,540,-542,7,0,0,0,0,"$555,352",2002,7
34,+1,Buckshot Jones,495,-587,6,0,0,0,0,"$357,543",2002,7
35,+4,Stacy Compton,469,-613,7,0,0,0,0,"$472,883",2002,7
36,--,Casey Atwood,463,-619,7,0,0,0,0,"$455,014",2002,7
37,--,Brett Bodine,448,-634,7,0,0,0,0,"$439,786",2002,7
38,-5,Joe Nemechek,447,-635,6,0,0,0,0,"$527,800",2002,7
39,+1,Hut Stricklin,424,-658,6,0,0,0,0,"$343,342",2002,7
40,+1,Rick Mast,399,-683,6,0,0,0,0,"$304,942",2002,7
41,-3,Kenny Wallace,386,-696,4,0,0,0,1,"$454,060",2002,7
42,--,Shawna Robinson,281,-801,5,0,0,0,0,"$321,604",2002,7
43,+3,Steve Park,245,-837,3,0,0,0,0,"$259,855",2002,7
44,-1,Todd Bodine,218,-864,3,1,0,0,0,"$273,965",2002,7
45,-1,Geoffrey Bodine,165,-917,1,0,0,1,1,"$688,641",2002,7
46,-1,Mike Wallace,149,-933,2,0,0,0,0,"$225,847",2002,7
47,--,Robert Pressley,97,-985,1,0,0,0,0,"$150,859",2002,7
48,--,Dick Trickle,74,-1008,2,0,0,0,0,"$88,215",2002,7
49,--,Hermie Sadler,67,-1015,1,0,0,0,0,"$70,554",2002,7
50,--,Frank Kimmel,64,-1018,1,0,0,0,0,"$79,537",2002,7
51,--,Jay Sauter,52,-1030,1,0,0,0,0,"$50,200",2002,7
52,-2,Dave Marcis,37,-1045,1,0,0,0,0,"$137,110",2002,7
53,-2,Andy Hillenburg,34,-1048,1,0,0,0,0,"$34,598",2002,7
1,--,Sterling Marlin,1209,0,8,0,2,3,6,"$1,438,610",2002,8
2,--,Matt Kenseth,1182,-27,8,1,2,4,6,"$1,146,110",2002,8
3,+2,Mark Martin,1080,-129,8,0,0,2,5,"$1,174,450",2002,8
4,--,Rusty Wallace,1070,-139,8,1,0,0,4,"$924,160",2002,8
5,+3,Tony Stewart,1062,-147,8,2,1,5,5,"$1,305,500",2002,8
6,+1,Kurt Busch,1027,-182,8,1,1,2,3,"$1,051,700",2002,8
7,-4,Jimmie Johnson,1021,-188,8,4,0,1,5,"$609,092",2002,8
